format,phase,pattern,iotype,block_size,qd,n,iops_mean,iops_stddev,mbps_mean,mbps_stddev,lat_p50_mean_us,lat_p50_stddev_us,lat_p99_mean_us,lat_p99_stddev_us,lat_max_mean_us,lat_max_stddev_us,cpu_pct_mean,cpu_pct_stddev
VHD-Dynamic,matrix,sequential,write,65536,1,5,5245.61,540.633,327.85,33.7896,170.86,9.29613,445.22,253.454,5903.82,3732.17,4.35588,1.55772
VHD-Dynamic,matrix,sequential,write,65536,32,5,5504.98,416.812,344.061,26.0508,5142.66,247.284,20838.9,7869.01,34103.6,21949.7,3.03832,3.35741
VHD-Dynamic,matrix,sequential,write,1048576,1,5,359.74,11.6749,359.74,11.6749,2531.96,96.1621,6849.46,2421.73,37711.6,28107.2,1.43265,0.865435
VHD-Dynamic,matrix,sequential,write,1048576,32,5,365.459,9.23731,365.459,9.23731,85499.8,1696.26,116500,24874.7,121860,23120.5,0.771239,0.613204
VHD-Dynamic,mixed_rw70,random,mixed,4096,32,5,66508.7,906.142,259.8,3.53962,359.1,1.92614,2408.66,42.4302,13729.8,10017.7,30.4304,1.93192
VHD-Dynamic,mixed_rw70,random,mixed,65536,32,5,6277.44,213.677,392.34,13.3548,4952.18,107.338,8485.42,1459.49,49147.5,34185.5,6.4938,1.47112
VHD-Dynamic,rewrite,sequential,write,4096,32,5,71735.3,5663.6,280.216,22.1234,424.46,53.3318,950.66,42.326,16442,13186.3,32.3099,3.53251
VHD-Dynamic,stride,sequential,read,4096,1,5,7907.05,262.585,30.8869,1.02572,123.28,1.85122,232.46,21.8397,3638.14,1659.69,5.74993,2.11486
VHD-Dynamic,stride,sequential,read,4096,32,5,47177.7,3288.12,184.288,12.8442,488.58,69.9266,1825.58,41.2989,5096.22,1388.27,22.3076,1.50676
VHD-Fixed,hotspot,random,read,4096,32,5,82680.4,2466.2,322.97,9.63359,325.1,5.36796,1877.64,100.972,8891.98,5971.16,35.4301,1.45701
VHD-Fixed,hotspot,random,read,65536,32,5,8325.65,29.8799,520.353,1.8675,3787.78,2.75082,5578.5,251.88,9871.16,1017.97,6.49515,2.076
VHD-Fixed,matrix,random,read,4096,1,5,9581.81,945.024,37.429,3.6915,80.74,8.75117,268.58,107.358,11866.1,19420.7,6.54411,0.873174
VHD-Fixed,matrix,random,read,4096,32,5,84798.6,2742.79,331.244,10.714,332,1.2,1770.06,220.503,4487.2,1975.28,35.9138,4.74996
VHD-Fixed,matrix,random,read,65536,1,5,3871.85,233.574,241.99,14.5984,240.68,7.1272,475.6,188.29,3014.58,792.892,3.86096,1.79734
VHD-Fixed,matrix,random,read,65536,32,5,8064.45,387.721,504.028,24.2326,3784.48,6.13164,6377,1861,9854.68,4489.73,5.37141,5.41166
VHD-Fixed,matrix,random,read,1048576,1,5,449.545,24.6737,449.545,24.6737,2157.18,32.8773,3385.44,1136.19,8033.66,3110.4,0.697319,0.481626
VHD-Fixed,matrix,random,read,1048576,32,5,508.77,54.7476,508.77,54.7476,59882.6,200.497,171512,246148,174331,245583,0.774178,0.994643
VHD-Fixed,matrix,random,write,4096,1,5,17030.9,2087.53,66.5269,8.15441,49.9,0.902774,181.38,78.8145,20841.4,16689,11.3907,1.55019
VHD-Fixed,matrix,random,write,4096,32,5,75018.4,1773.87,293.041,6.92918,392.36,0.817313,1022.94,249.669,3084.5,1107.11,31.4332,9.05847
VHD-Fixed,matrix,random,write,65536,1,5,5343.92,457.433,333.995,28.5896,168.52,5.32607,426.96,260.227,4947.1,2406.01,3.89125,4.4655
VHD-Fixed,matrix,random,write,65536,32,5,5734.24,828.4,358.39,51.775,5707.94,1230.19,11512.7,2595.5,15793.4,1164.89,8.29525,5.03625
VHD-Fixed,matrix,random,write,1048576,1,5,355.98,21.0199,355.98,21.0199,2452.66,110.823,7639.18,2713.14,48053.6,22838.7,1.84748,1.14487
VHD-Fixed,matrix,random,write,1048576,32,5,363.422,14.4778,363.422,14.4778,84708.6,1388.43,166014,57481.7,170103,59379.5,0.565708,0.576377
VHD-Fixed,matrix,sequential,read,4096,1,5,19169.5,1438.99,74.881,5.62105,46.14,0.279285,141.64,22.5055,4035.6,946.136,11.2968,2.48674
VHD-Fixed,matrix,sequential,read,4096,32,5,77926.9,5319.2,304.402,20.7781,371.6,48.5763,1493.94,157.523,2867.52,887.016,27.3944,4.5514
VHD-Fixed,matrix,sequential,read,65536,1,5,5764.71,394.609,360.294,24.6631,157.5,2.55636,351.7,141.693,2712.48,1459.41,4.04101,3.13822
VHD-Fixed,matrix,sequential,read,65536,32,5,7816.04,1064.72,488.502,66.5452,4155.36,836.873,5626.98,1056.61,9280.94,3426.23,8.13634,3.60967
VHD-Fixed,matrix,sequential,read,1048576,1,5,464.674,72.6342,464.674,72.6342,2105.44,286.515,3465.6,2021.7,8348.3,2724.12,1.2216,0.432744
VHD-Fixed,matrix,sequential,read,1048576,32,5,533.182,0.804895,533.182,0.804895,59816.4,49.1895,61660,1880.87,63299.2,1146.12,1.62745,0.995894
VHD-Fixed,matrix,sequential,write,4096,1,5,17590.6,1499.89,68.7132,5.85896,49.86,0.634823,148.38,24.4812,20023.4,38567.4,13.5098,0.485778
VHD-Fixed,matrix,sequential,write,4096,32,5,68345.7,6276.86,266.976,24.519,428.44,48.7712,1253.2,651.657,20742.9,37513.9,30.2746,3.01412
VHD-Fixed,matrix,sequential,write,65536,1,5,5232.76,480.841,327.047,30.0526,167.24,3.45152,386.74,136.62,18358.1,31298.8,5.55589,2.43058
VHD-Fixed,matrix,sequential,write,65536,32,5,5736.07,563.391,358.504,35.212,4859.4,372.557,21236,9181.18,56706.6,52210.7,4.10852,3.14324
VHD-Fixed,matrix,sequential,write,1048576,1,5,348.435,27.1259,348.435,27.1259,2492.68,92.5467,7355.74,1828.01,64284.1,36392.4,1.37191,0.818719
VHD-Fixed,matrix,sequential,write,1048576,32,5,361.12,12.9117,361.12,12.9117,85720.4,3473.2,155162,67709,163015,63753.8,1.10485,0.562127
VHD-Fixed,mixed_rw70,random,mixed,4096,32,5,64486.3,4702.72,251.9,18.37,367.6,17.0586,2478.58,200.743,45248.5,55717.6,31.4322,4.60546
VHD-Fixed,mixed_rw70,random,mixed,65536,32,5,6350.6,82.6734,396.913,5.16709,4921.56,20.8129,8086.7,559.141,37848.4,22700.8,5.68235,0.971867
VHD-Fixed,rewrite,sequential,write,4096,32,5,70689.6,3242.25,276.131,12.665,400.26,17.0757,1092.24,326.85,48855.3,26746.7,32.1187,2.35877
VHD-Fixed,stride,sequential,read,4096,1,5,7630.7,511.606,29.8074,1.99846,125.88,3.77319,288.82,116.762,4134.98,2214.59,4.68744,2.31753
VHD-Fixed,stride,sequential,read,4096,32,5,46834.9,1798.03,182.949,7.02355,487.6,27.2895,1948.88,317.793,7691.1,3904.33,23.558,2.02002
VHDX-Differencing,first_write,sequential,write,4096,1,5,317.092,19.6872,1.23864,0.0769033,1151.08,1286.37,12500.6,5092.67,54152.6,33039.2,0.489543,0.253847
VHDX-Differencing,hotspot,random,read,4096,32,5,83239.2,3091.16,325.153,12.0748,324.2,6.46877,1900.68,163.086,5599.86,2421.72,35.4941,2.34808
VHDX-Differencing,hotspot,random,read,65536,32,5,8319.33,42.2018,519.958,2.63761,3787.38,3.29196,5642.82,299.077,10831.3,1349.76,7.05729,1.66125
VHDX-Differencing,matrix,random,read,4096,1,5,9781.76,906.127,38.21,3.53956,80.26,12.3249,236.74,93.7951,5819.06,4353.73,5.99227,1.16481
VHDX-Differencing,matrix,random,read,4096,32,5,84250.4,2766.84,329.103,10.808,331.74,0.207364,1971.44,116.894,4210.76,1498.96,31.3377,4.35278
VHDX-Differencing,matrix,random,read,65536,1,5,3922.47,313.575,245.154,19.5984,238.42,12.41,484.98,240.315,2725.26,411.814,4.57478,3.16931
VHDX-Differencing,matrix,random,read,65536,32,5,8313.97,58.0805,519.623,3.63003,3781.7,2.62011,5395.02,378.505,6344.52,738.889,7.60897,2.83432
VHDX-Differencing,matrix,random,read,1048576,1,5,459.603,5.62666,459.603,5.62666,2147.28,19.3922,2808.28,530.993,7052.14,2967.51,1.54006,1.04111
VHDX-Differencing,matrix,random,read,1048576,32,5,534.03,0.809986,534.03,0.809986,59791.5,24.73,61318,747.235,65221,3497.44,0.978167,0.682062
VHDX-Differencing,matrix,random,write,4096,1,5,18209.7,1105.02,71.1318,4.31648,49.44,0.439318,140.5,17.6454,7216.1,4707.51,12.2214,2.30434
VHDX-Differencing,matrix,random,write,4096,32,5,73930.8,2168.96,288.792,8.4725,392.3,1.01735,1134.5,349.978,3916.52,460.901,34.8603,3.518
VHDX-Differencing,matrix,random,write,65536,1,5,5493.57,474.882,343.348,29.6801,167.42,4.93781,370.64,189.182,3131.8,1419.63,5.24818,3.31285
VHDX-Differencing,matrix,random,write,65536,32,5,5422.79,279.484,338.924,17.4677,5477.48,130.471,20937.2,6710.16,42728.7,27253.4,5.38276,3.19498
VHDX-Differencing,matrix,random,write,1048576,1,5,355.134,9.26639,355.134,9.26639,2579.44,84.8377,7849.88,3081.6,36531.2,17512.1,0.748687,0.596207
VHDX-Differencing,matrix,random,write,1048576,32,5,332.824,10.5854,332.824,10.5854,94002.1,5236.01,129895,25072,133068,28288.2,1.02064,0.527184
VHDX-Differencing,matrix,sequential,read,4096,1,5,19234.4,1712.07,75.1343,6.68779,46.26,0.364692,138.6,31.727,3216.94,1742.69,10.2469,2.34905
VHDX-Differencing,matrix,sequential,read,4096,32,5,70039.4,1530.02,273.592,5.97664,412.96,61.4574,1526.64,273.715,7387.3,7929.8,26.7876,5.30774
VHDX-Differencing,matrix,sequential,read,65536,1,5,5741.32,435.116,358.833,27.1948,157.8,4.03609,358.62,140.369,2723.4,1990.81,5.18646,2.93528
VHDX-Differencing,matrix,sequential,read,65536,32,5,8249.15,142.515,515.572,8.90716,3780.88,2.11353,6463.12,1695.63,10017.3,4231.1,6.94841,5.27072
VHDX-Differencing,matrix,sequential,read,1048576,1,5,496.251,11.5934,496.251,11.5934,1980.94,23.8769,2781.56,870.892,5833.2,2128.64,1.66483,1.47344
VHDX-Differencing,matrix,sequential,read,1048576,32,5,533.105,1.86284,533.105,1.86284,59792.5,30.6067,62350.6,1657.94,64324.7,3256.77,1.62566,0.570291
VHDX-Differencing,matrix,sequential,write,4096,1,5,18001.3,1688.37,70.3174,6.59519,49.64,0.559464,147.16,42.0845,4856.84,3776,13.5393,1.63522
VHDX-Differencing,matrix,sequential,write,4096,32,5,68223.2,6415.18,266.497,25.0593,453.26,56.914,1218.84,577.939,5728.02,4289.1,28.1936,6.04526
VHDX-Differencing,matrix,sequential,write,65536,1,5,5492.8,430.641,343.3,26.915,167.4,4.92087,353.22,133.7,5431.08,5881.11,7.88804,5.7009
VHDX-Differencing,matrix,sequential,write,65536,32,5,6036.85,232.276,377.303,14.5173,4947.28,233.565,18138,7300.23,26006.1,8744.52,6.88517,2.21372
VHDX-Differencing,matrix,sequential,write,1048576,1,5,335.428,22.5191,335.428,22.5191,2727,126.814,8272.18,1798.85,29630,7833.36,1.05139,0.656146
VHDX-Differencing,matrix,sequential,write,1048576,32,5,338.951,14.6147,338.951,14.6147,91221.2,5099.75,147577,23018.8,150992,23055.4,0.924084,0.753279
VHDX-Differencing,mixed_rw70,random,mixed,4096,32,5,64096.9,2549.58,250.379,9.95929,358.4,4.43678,2471,112.493,21258.9,22378.6,30.8088,2.41533
VHDX-Differencing,mixed_rw70,random,mixed,65536,32,5,6289.12,88.6618,393.07,5.54136,4945.38,51.6624,8443.46,751.827,47720.3,29103.3,5.2448,0.745078
VHDX-Differencing,rewrite,sequential,write,4096,32,5,69208.9,2492.79,270.347,9.73745,392.82,1.8593,1239.18,392.891,20229.9,8834.06,30.7473,1.83017
VHDX-Differencing,stride,sequential,read,4096,1,5,7812.98,570.122,30.5195,2.22704,124.14,4.39466,272.36,113.669,3596.96,895.194,5.31243,1.62376
VHDX-Differencing,stride,sequential,read,4096,32,5,47730.9,716.031,186.449,2.797,478.46,26.4402,1984.16,230.014,5944.72,63.51,22.4947,2.73303
VHDX-Dynamic,first_write,sequential,write,4096,1,5,21.1482,2.05592,0.08261,0.00803094,282.98,147.007,151666,73353.8,210732,76890.1,0.0856865,0.191601
VHDX-Dynamic,hotspot,random,read,4096,32,5,82672.4,4785.59,322.939,18.6937,326.04,7.27826,1906.5,218.239,14786.7,14242.3,35.0578,2.94611
VHDX-Dynamic,hotspot,random,read,65536,32,5,8317.32,42.2132,519.832,2.63832,3787.56,2.84746,5650.46,393.577,10245.7,667.727,6.24556,2.10675
VHDX-Dynamic,matrix,random,read,4096,1,5,9918.9,678.348,38.7457,2.6498,78.16,8.14052,226.42,66.2531,3154.16,586.618,5.73868,0.881377
VHDX-Dynamic,matrix,random,read,4096,32,5,82212.3,7139.34,321.142,27.8881,331.78,0.356371,1981.6,248.348,9712.72,14248.8,33.8238,6.65846
VHDX-Dynamic,matrix,random,read,65536,1,5,3833.92,273.211,239.62,17.0757,242,11.9662,484.48,226.45,2868.14,734.863,3.13676,2.47433
VHDX-Dynamic,matrix,random,read,65536,32,5,8231.34,87.0604,514.459,5.44127,3782.8,3.35559,6024.7,843.174,9119.54,3899.7,5.65985,4.66085
VHDX-Dynamic,matrix,random,read,1048576,1,5,457.666,10.073,457.666,10.073,2156.86,21.2398,2870.42,761.892,5867.88,1711.04,1.67277,0.615138
VHDX-Dynamic,matrix,random,read,1048576,32,5,534.22,0.779086,534.22,0.779086,59791.6,19.2396,61715.9,1439.84,65247.4,3101.16,1.46766,1.06343
VHDX-Dynamic,matrix,random,write,4096,1,5,17978.3,1419.56,70.2279,5.54514,49.78,0.801249,142.3,28.6687,12067.6,12384.3,12.8341,1.98597
VHDX-Dynamic,matrix,random,write,4096,32,5,72010.1,2488.58,281.289,9.72101,391.98,0.990959,1006.3,188.133,13924,14484,32.6496,5.42636
VHDX-Dynamic,matrix,random,write,65536,1,5,5521.62,447.4,345.101,27.9625,166.96,4.38896,380.06,192.542,2226.14,2049.63,6.88804,4.57046
VHDX-Dynamic,matrix,random,write,65536,32,5,5741.79,243.421,358.862,15.2138,5330.12,310.631,13899.4,6599.76,17051.5,7295.66,5.67595,3.19828
VHDX-Dynamic,matrix,random,write,1048576,1,5,357.246,8.83705,357.246,8.83705,2536.06,120.477,9927.48,2922.49,38184.6,17631.5,0.98623,0.610196
VHDX-Dynamic,matrix,random,write,1048576,32,5,340.249,10.1826,340.249,10.1826,93166.9,2205.59,124248,18846.6,128654,20112.4,0.618843,0.435008
VHDX-Dynamic,matrix,sequential,read,4096,1,5,19416.4,1731.41,75.8452,6.7633,46.26,0.527257,135.8,31.0798,3301.14,1299.53,12.1774,0.92627
VHDX-Dynamic,matrix,sequential,read,4096,32,5,79610,10084.5,310.976,39.3924,358.76,58.8347,1523.5,307.959,2815.62,1732.23,33.8838,10.695
VHDX-Dynamic,matrix,sequential,read,65536,1,5,5791.91,386.116,361.995,24.1322,157.38,3.47951,357.86,154.821,2243.14,897.275,3.89988,1.57667
VHDX-Dynamic,matrix,sequential,read,65536,32,5,8292.76,123.661,518.297,7.72883,3780.38,1.20913,6049.04,1912.47,9544.24,4590.44,8.84059,5.20962
VHDX-Dynamic,matrix,sequential,read,1048576,1,5,498.839,12.3762,498.839,12.3762,1972.12,30.3811,2631.72,661.649,7021.28,3766.79,0.61259,0.635912
VHDX-Dynamic,matrix,sequential,read,1048576,32,5,533.997,1.3274,533.997,1.3274,59780.9,14.15,61478.3,1062.37,63627.7,2724.94,1.30482,1.23648
VHDX-Dynamic,matrix,sequential,write,4096,1,5,17957.2,1452.73,70.1455,5.67472,49.9,0.62849,141.46,30.8599,7230.32,9107.62,12.3257,2.71349
VHDX-Dynamic,matrix,sequential,write,4096,32,5,72000.9,7772.49,281.253,30.3613,413.72,51.4193,1245.94,703.01,3580,667.753,29.2418,4.28229
VHDX-Dynamic,matrix,sequential,write,65536,1,5,5391.24,471.144,336.952,29.4465,168.42,6.20298,419.78,201.54,3726.92,2485.38,3.81035,3.76564
VHDX-Dynamic,matrix,sequential,write,65536,32,5,5779.32,348.39,361.207,21.7744,5111.84,227.503,21798.6,8731.06,35167,12837.4,5.33434,3.29414
VHDX-Dynamic,matrix,sequential,write,1048576,1,5,351.296,9.92239,351.296,9.92239,2613.76,77.6878,7462.64,3443.41,36740.1,16741.9,1.51246,0.911396
VHDX-Dynamic,matrix,sequential,write,1048576,32,5,345.771,16.6705,345.771,16.6705,90268.8,4383.32,124899,14657.1,128535,14214.2,0.613006,0.559816
VHDX-Dynamic,mixed_rw70,random,mixed,4096,32,5,64112.6,2530.74,250.44,9.88571,356.04,5.4123,2483.68,81.0816,27171.9,18937.3,27.8709,1.90575
VHDX-Dynamic,mixed_rw70,random,mixed,65536,32,5,6311.59,167.736,394.474,10.4835,4943.46,84.7039,8198.08,592.076,35633.5,17905.3,6.55653,1.75249
VHDX-Dynamic,rewrite,sequential,write,4096,32,5,66157.5,4080.38,258.428,15.939,472.24,47.1595,1143.74,362.611,12843.1,9413.63,28.81,2.5995
VHDX-Dynamic,stride,sequential,read,4096,1,5,7729.6,561.955,30.1938,2.19514,125.26,4.781,280.24,130.198,4554.22,2403.33,4.68743,1.14819
VHDX-Dynamic,stride,sequential,read,4096,32,5,44845.4,4545.01,175.177,17.7539,517.8,73.6042,2191.38,480.389,11633.4,11046.6,21.6206,2.27939
VHDX-Fixed,hotspot,random,read,4096,32,5,82679.3,3125.34,322.966,12.2083,326.88,4.95903,1937.3,140.548,5395.56,1846.01,36.1851,4.07059
VHDX-Fixed,hotspot,random,read,65536,32,5,8281.54,59.7136,517.596,3.7321,3789.24,5.1704,5799.88,264.338,11721.6,2707.1,6.80733,1.64349
VHDX-Fixed,matrix,random,read,4096,1,5,9801.1,897.311,38.2855,3.50512,80.52,13.1311,230.82,85.6097,3492.82,960.973,6.46573,1.05331
VHDX-Fixed,matrix,random,read,4096,32,5,84276.7,2916.94,329.206,11.3943,331.82,0.248998,1874.3,200.528,3198.7,233.624,37.7824,3.42624
VHDX-Fixed,matrix,random,read,65536,1,5,3835.75,349.059,239.734,21.8162,244.64,17.4274,507.1,277.728,2850.36,393.007,3.36715,2.01866
VHDX-Fixed,matrix,random,read,65536,32,5,8314.86,16.8226,519.679,1.05141,3781.24,1.4188,5300.22,161.27,7178.12,1755.14,6.34736,3.18162
VHDX-Fixed,matrix,random,read,1048576,1,5,459.16,11.4724,459.16,11.4724,2147.1,26.3679,3017.04,1036.32,5076,1553.52,1.38573,0.811524
VHDX-Fixed,matrix,random,read,1048576,32,5,534.311,0.879218,534.311,0.879218,59783.3,20.8692,62063.2,1566.27,63825.6,2858.71,1.9571,0.930581
VHDX-Fixed,matrix,random,write,4096,1,5,18039.4,1597.3,70.4662,6.23947,49.84,0.873499,139.86,31.362,3562.46,989.794,13.2029,3.50532
VHDX-Fixed,matrix,random,write,4096,32,5,72533.4,4280.34,283.333,16.7201,392.44,0.971082,1004.18,176.342,10776.1,17394.5,35.4901,7.12353
VHDX-Fixed,matrix,random,write,65536,1,5,5444.77,547.495,340.298,34.2184,168.32,7.02652,424.48,235.896,3462.9,2795.46,3.89747,3.20773
VHDX-Fixed,matrix,random,write,65536,32,5,5645.55,277.603,352.847,17.3502,5431.44,249.221,12754.3,5189.86,17639.2,8453.8,5.51978,2.6916
VHDX-Fixed,matrix,random,write,1048576,1,5,355.31,9.40431,355.31,9.40431,2565.76,74.4574,8993.66,2129.14,35421.9,11708.1,1.18344,1.16717
VHDX-Fixed,matrix,random,write,1048576,32,5,341.572,11.6589,341.572,11.6589,91757.9,2915.57,141531,36506,145395,35307.7,1.02947,0.806288
VHDX-Fixed,matrix,sequential,read,4096,1,5,19322.8,1589.91,75.4799,6.21058,46.26,0.472229,137.58,26.7747,3518.62,1020.7,12.5972,0.912662
VHDX-Fixed,matrix,sequential,read,4096,32,5,80236,5738.28,313.422,22.4152,354.78,47.9514,1431.22,221.278,2329.16,792.401,34.9305,6.84648
VHDX-Fixed,matrix,sequential,read,65536,1,5,5855.97,504.513,365.998,31.5321,158.64,5.5234,344.04,169.212,1943.56,803.045,4.36833,4.77552
VHDX-Fixed,matrix,sequential,read,65536,32,5,8318.29,100.187,519.893,6.2617,3781.02,1.67839,5422.8,1319.96,8109.6,3550.8,5.06424,4.2462
VHDX-Fixed,matrix,sequential,read,1048576,1,5,498.267,8.7557,498.267,8.7557,1974.82,20.0598,2410.12,563.37,8041.62,2747.01,1.06073,0.403501
VHDX-Fixed,matrix,sequential,read,1048576,32,5,534.416,0.767728,534.416,0.767728,59778.6,17.9817,61190.5,1111.9,64738.6,3194.39,1.14148,0.446077
VHDX-Fixed,matrix,sequential,write,4096,1,5,17611,1148.81,68.7931,4.48753,49.9,0.659545,149.4,24.0829,20594.1,23432.4,11.4122,2.85627
VHDX-Fixed,matrix,sequential,write,4096,32,5,70794.5,5928.12,276.541,23.1567,407.88,32.5869,1141.78,436.094,5385.64,4369.01,28.0678,7.94922
VHDX-Fixed,matrix,sequential,write,65536,1,5,5442.02,469.59,340.126,29.3494,167.92,5.14364,352.6,146.108,7607.12,8439.85,2.50236,2.8346
VHDX-Fixed,matrix,sequential,write,65536,32,5,5450.76,515.374,340.672,32.2109,5260.9,130.123,17128.8,7280.95,67191.5,52595.4,7.49697,2.86643
VHDX-Fixed,matrix,sequential,write,1048576,1,5,358.585,11.2274,358.585,11.2274,2572.84,104.225,6708.76,1940.98,27624.2,8266.28,0.758903,0.81758
VHDX-Fixed,matrix,sequential,write,1048576,32,5,346.087,15.5495,346.087,15.5495,90768.6,3830.56,139307,17054,141927,17024.4,1.1368,1.23622
VHDX-Fixed,mixed_rw70,random,mixed,4096,32,5,65272.9,2601.36,254.972,10.1615,360.1,5.86473,2472.2,86.9803,18003.5,13608.6,30.0591,2.28875
VHDX-Fixed,mixed_rw70,random,mixed,65536,32,5,6286.39,127.802,392.899,7.98763,4948.64,55.6972,8420.08,876.488,39823.2,26619.7,6.92951,1.78551
VHDX-Fixed,rewrite,sequential,write,4096,32,5,70772.5,3863.03,276.455,15.09,395.74,5.69763,1120.18,373.902,11126,10094.3,31.1222,3.06619
VHDX-Fixed,stride,sequential,read,4096,1,5,7695.11,674.302,30.059,2.63399,125.26,5.11693,294.02,155.436,5586.14,5981.51,4.37493,0.826819
VHDX-Fixed,stride,sequential,read,4096,32,5,46524.9,2002.38,181.738,7.8218,476.52,28.1762,2018.38,303.638,5117.7,1073.34,23.3063,2.01993
